num_columns,day_of_week,day,month,year,minute,hour,qhr,num_days_since_start,num_hours_since_start,num_mins_since_start,lineage,table_name,cluster_labels
237,3,13,4,2017,37,17,70,397,9545,572675,cms_medicare,outpatient_charges_2013,64
237,2,12,4,2017,52,19,79,396,9523,571370,cms_medicare,outpatient_charges_2014,64
237,0,18,9,2017,57,14,59,555,13334,800035,cms_medicare,outpatient_charges_2015,24
471,2,12,4,2017,1,20,80,396,9523,571379,cms_medicare,part_d_prescriber_2014,64
674,3,13,4,2017,37,17,70,397,9545,572675,cms_medicare,physicians_and_other_supplier_2012,64
674,3,13,4,2017,37,17,70,397,9545,572675,cms_medicare,physicians_and_other_supplier_2013,64
619,2,12,4,2017,59,19,79,396,9523,571377,cms_medicare,physicians_and_other_supplier_2014,64
619,0,18,9,2017,21,15,61,555,13334,800060,cms_medicare,physicians_and_other_supplier_2015,24
2059,4,19,5,2017,27,19,77,433,10410,624625,cms_medicare,referring_durable_medical_equip_2013,3
1647,4,19,5,2017,21,19,77,433,10410,624619,cms_medicare,referring_durable_medical_equip_2014,3
167,0,14,1,2019,28,18,73,1038,24929,1495766,crypto_bitcoin,blocks,41
219,1,15,1,2019,52,3,15,1039,24939,1496330,crypto_bitcoin,inputs,41
159,1,15,1,2019,52,3,15,1039,24939,1496330,crypto_bitcoin,outputs,41
235,0,14,1,2019,48,18,75,1038,24930,1495786,crypto_bitcoin,transactions,41
162,1,12,12,2017,52,23,95,640,15383,922970,eclipse_megamovie,astrometry_corr_v_0_4,49
16,1,12,12,2017,46,23,95,640,15383,922964,eclipse_megamovie,astrometry_index_v_0_4,49
389,1,12,12,2017,52,23,95,640,15383,922970,eclipse_megamovie,astrometry_match_v_0_4,49
19,1,12,12,2017,52,23,95,640,15383,922970,eclipse_megamovie,astrometry_rdls_v_0_4,49
330,4,29,9,2017,30,1,6,566,13584,815068,eclipse_megamovie,photos_v_0_1,6
330,4,6,10,2017,22,18,73,573,13769,826160,eclipse_megamovie,photos_v_0_2,69
350,2,6,12,2017,57,17,71,634,15233,913976,eclipse_megamovie,photos_v_0_3,8
1102,2,12,4,2017,29,19,77,396,9522,571347,epa_historical_air_quality,air_quality_annual_summary,64
452,2,12,4,2017,32,19,78,396,9523,571351,epa_historical_air_quality,co_daily_summary,64
344,3,20,4,2017,37,3,14,404,9699,581915,epa_historical_air_quality,co_hourly_summary,34
452,2,12,4,2017,32,19,78,396,9522,571350,epa_historical_air_quality,hap_daily_summary,64
344,3,20,4,2017,45,3,15,404,9699,581923,epa_historical_air_quality,hap_hourly_summary,34
452,2,12,4,2017,26,19,77,396,9522,571344,epa_historical_air_quality,lead_daily_summary,64
452,2,12,4,2017,32,19,78,396,9523,571350,epa_historical_air_quality,no2_daily_summary,64
344,3,20,4,2017,55,3,15,404,9699,581933,epa_historical_air_quality,no2_hourly_summary,34
452,2,12,4,2017,33,19,78,396,9523,571352,epa_historical_air_quality,nonoxnoy_daily_summary,64
344,3,20,4,2017,48,3,15,404,9699,581927,epa_historical_air_quality,nonoxnoy_hourly_summary,34
452,2,12,4,2017,34,19,78,396,9523,571352,epa_historical_air_quality,o3_daily_summary,64
344,3,20,4,2017,58,3,15,404,9699,581936,epa_historical_air_quality,o3_hourly_summary,34
452,2,12,4,2017,34,19,78,396,9523,571352,epa_historical_air_quality,pm10_daily_summary,64
344,3,20,4,2017,4,4,16,404,9699,581942,epa_historical_air_quality,pm10_hourly_summary,34
452,2,12,4,2017,35,19,78,396,9523,571353,epa_historical_air_quality,pm25_frm_daily_summary,64
344,3,20,4,2017,5,4,16,404,9699,581943,epa_historical_air_quality,pm25_frm_hourly_summary,34
452,2,12,4,2017,35,19,78,396,9523,571353,epa_historical_air_quality,pm25_nonfrm_daily_summary,64
344,3,20,4,2017,6,4,16,404,9699,581944,epa_historical_air_quality,pm25_nonfrm_hourly_summary,34
452,2,12,4,2017,37,19,78,396,9523,571355,epa_historical_air_quality,pm25_speciation_daily_summary,64
344,3,20,4,2017,2,4,16,404,9699,581940,epa_historical_air_quality,pm25_speciation_hourly_summary,34
452,2,12,4,2017,33,19,78,396,9523,571351,epa_historical_air_quality,pressure_daily_summary,64
344,3,20,4,2017,4,4,16,404,9699,581942,epa_historical_air_quality,pressure_hourly_summary,34
452,2,12,4,2017,34,19,78,396,9523,571352,epa_historical_air_quality,rh_and_dp_daily_summary,64
344,3,20,4,2017,9,4,16,404,9699,581947,epa_historical_air_quality,rh_and_dp_hourly_summary,34
452,2,12,4,2017,37,19,78,396,9523,571355,epa_historical_air_quality,so2_daily_summary,64
344,3,20,4,2017,11,4,16,404,9699,581949,epa_historical_air_quality,so2_hourly_summary,34
452,2,12,4,2017,37,19,78,396,9523,571355,epa_historical_air_quality,temperature_daily_summary,64
344,3,20,4,2017,15,4,17,404,9699,581953,epa_historical_air_quality,temperature_hourly_summary,34
452,2,12,4,2017,40,19,78,396,9523,571358,epa_historical_air_quality,voc_daily_summary,64
344,3,20,4,2017,9,4,16,404,9699,581947,epa_historical_air_quality,voc_hourly_summary,34
452,2,12,4,2017,37,19,78,396,9523,571355,epa_historical_air_quality,wind_daily_summary,64
344,3,20,4,2017,13,4,16,404,9699,581951,epa_historical_air_quality,wind_hourly_summary,34
247,1,14,8,2018,12,16,64,885,21255,1275310,ethereum_blockchain,blocks,58
119,1,14,8,2018,4,16,64,885,21255,1275302,ethereum_blockchain,contracts,58
132,1,14,8,2018,21,16,65,885,21255,1275319,ethereum_blockchain,logs,58
138,1,14,8,2018,28,16,65,885,21255,1275326,ethereum_blockchain,token_transfers,58
57,1,7,8,2018,35,18,74,878,21090,1265373,ethereum_blockchain,tokens,16
258,1,13,11,2018,34,13,54,976,23437,1406192,ethereum_blockchain,traces,21
268,1,14,8,2018,39,16,66,885,21256,1275337,ethereum_blockchain,transactions,58
833,4,14,7,2017,25,17,69,489,11752,705144,fda_drug,drug_enforcement,67
2054,4,14,7,2017,10,19,76,489,11754,705248,fda_drug,drug_label,67
421,4,14,7,2017,10,17,68,489,11752,705129,fda_food,food_enforcement,67
222,0,12,6,2017,35,3,14,457,10971,658233,fda_food,food_events,25
101,2,5,10,2016,31,18,74,207,4985,299129,fec,ccl00,61
101,2,5,10,2016,4,17,68,207,4984,299042,fec,ccl02,61
101,0,3,10,2016,18,19,77,205,4938,296297,fec,ccl04,9
101,2,5,10,2016,5,14,56,207,4981,298863,fec,ccl06,61
101,1,4,10,2016,34,18,74,206,4962,297692,fec,ccl08,61
101,1,4,10,2016,10,15,60,206,4958,297488,fec,ccl10,9
101,0,3,10,2016,15,19,77,205,4938,296293,fec,ccl12,9
101,0,3,10,2016,30,17,70,205,4936,296188,fec,ccl14,9
101,3,22,9,2016,34,14,58,194,4670,280172,fec,ccl16,47
101,0,1,1,2018,14,17,68,660,15856,951372,fec,ccl18,42
202,2,5,10,2016,31,18,74,207,4985,299129,fec,cm00,61
202,2,5,10,2016,4,17,68,207,4984,299042,fec,cm02,61
202,0,3,10,2016,24,19,77,205,4938,296302,fec,cm04,9
202,2,5,10,2016,7,14,56,207,4981,298865,fec,cm06,61
202,1,4,10,2016,35,18,74,206,4962,297693,fec,cm08,61
202,1,4,10,2016,11,15,60,206,4958,297490,fec,cm10,9
202,0,3,10,2016,17,19,77,205,4938,296295,fec,cm12,9
202,0,3,10,2016,32,17,70,205,4936,296190,fec,cm14,9
202,4,9,9,2016,39,2,10,181,4346,260738,fec,cm16,66
202,0,1,1,2018,14,17,68,660,15856,951372,fec,cm18,42
202,0,3,10,2016,32,16,66,205,4935,296130,fec,cm80,9
202,0,3,10,2016,38,18,74,205,4938,296257,fec,cm82,9
202,2,5,10,2016,31,14,58,207,4981,298889,fec,cm84,61
202,1,4,10,2016,34,19,78,206,4963,297752,fec,cm86,61
202,2,5,10,2016,46,14,59,207,4982,298905,fec,cm88,61
202,0,3,10,2016,27,17,69,205,4936,296186,fec,cm90,9
202,0,3,10,2016,48,18,75,205,4938,296266,fec,cm92,9
202,1,4,10,2016,3,19,76,206,4962,297721,fec,cm94,61
202,2,5,10,2016,40,16,66,207,4984,299018,fec,cm96,61
202,2,5,10,2016,44,17,70,207,4985,299082,fec,cm98,61
224,2,5,10,2016,31,18,74,207,4985,299129,fec,cn00,61
224,2,5,10,2016,4,17,68,207,4984,299042,fec,cn02,61
224,0,3,10,2016,19,19,77,205,4938,296297,fec,cn04,9
224,2,5,10,2016,6,14,56,207,4981,298864,fec,cn06,61
224,1,4,10,2016,35,18,74,206,4962,297693,fec,cn08,61
224,1,4,10,2016,11,15,60,206,4958,297489,fec,cn10,9
224,0,3,10,2016,15,19,77,205,4938,296293,fec,cn12,9
224,0,3,10,2016,31,17,70,205,4936,296189,fec,cn14,9
224,1,20,9,2016,35,21,86,192,4629,277713,fec,cn16,47
224,0,1,1,2018,14,17,68,660,15856,951372,fec,cn18,42
224,0,3,10,2016,31,16,66,205,4935,296129,fec,cn80,9
224,0,3,10,2016,38,18,74,205,4938,296256,fec,cn82,9
224,2,5,10,2016,31,14,58,207,4981,298889,fec,cn84,61
224,1,4,10,2016,33,19,78,206,4963,297751,fec,cn86,61
224,2,5,10,2016,46,14,59,207,4982,298904,fec,cn88,61
224,0,3,10,2016,18,17,69,205,4936,296176,fec,cn90,9
224,0,3,10,2016,11,18,72,205,4937,296230,fec,cn92,9
224,1,4,10,2016,51,14,59,206,4958,297469,fec,cn94,9
224,2,5,10,2016,35,16,66,207,4984,299013,fec,cn96,61
224,2,5,10,2016,44,17,70,207,4985,299082,fec,cn98,61
266,2,5,10,2016,26,19,77,207,4986,299184,fec,indiv00,61
266,2,5,10,2016,13,17,68,207,4984,299051,fec,indiv02,61
266,0,3,10,2016,25,19,77,205,4938,296304,fec,indiv04,9
266,2,5,10,2016,8,14,56,207,4981,298866,fec,indiv06,61
266,1,4,10,2016,37,18,74,206,4962,297695,fec,indiv08,61
266,1,4,10,2016,13,15,60,206,4958,297491,fec,indiv10,9
266,0,3,10,2016,19,19,77,205,4938,296297,fec,indiv12,9
266,0,3,10,2016,34,17,70,205,4937,296192,fec,indiv14,9
266,3,22,9,2016,32,14,58,194,4669,280170,fec,indiv16,47
457,3,22,9,2016,7,17,68,194,4672,280325,fec,indiv16_cm16,47
266,0,1,1,2018,30,17,70,660,15856,951388,fec,indiv18,42
266,0,3,10,2016,32,16,66,205,4936,296130,fec,indiv80,9
266,1,4,10,2016,26,17,69,206,4960,297625,fec,indiv82,61
266,2,5,10,2016,49,14,59,207,4982,298907,fec,indiv84,61
266,1,4,10,2016,47,19,79,206,4963,297765,fec,indiv86,61
266,2,5,10,2016,48,14,59,207,4982,298906,fec,indiv88,61
266,0,3,10,2016,36,17,70,205,4937,296194,fec,indiv90,9
266,1,4,10,2016,25,16,65,206,4959,297563,fec,indiv92,61
266,1,4,10,2016,24,19,77,206,4962,297743,fec,indiv94,61
266,2,5,10,2016,3,17,68,207,4984,299041,fec,indiv96,61
266,2,5,10,2016,0,18,72,207,4985,299098,fec,indiv98,61
321,0,3,10,2016,26,19,77,205,4938,296304,fec,oppexp04,9
321,2,5,10,2016,8,14,56,207,4981,298866,fec,oppexp06,61
321,1,4,10,2016,36,18,74,206,4962,297695,fec,oppexp08,61
321,1,4,10,2016,13,15,60,206,4958,297492,fec,oppexp10,9
321,0,3,10,2016,18,19,77,205,4938,296297,fec,oppexp12,9
321,0,3,10,2016,33,17,70,205,4937,296192,fec,oppexp14,9
321,4,23,9,2016,51,14,59,195,4694,281629,fec,oppexp16,47
321,0,1,1,2018,20,17,69,660,15856,951379,fec,oppexp18,42
266,2,5,10,2016,36,18,74,207,4986,299134,fec,oth00,61
266,2,5,10,2016,9,17,68,207,4984,299047,fec,oth02,61
266,0,3,10,2016,27,19,77,205,4938,296306,fec,oth04,9
266,2,5,10,2016,8,14,56,207,4981,298866,fec,oth06,61
266,1,4,10,2016,37,18,74,206,4962,297696,fec,oth08,61
266,1,4,10,2016,14,15,60,206,4958,297493,fec,oth10,9
266,0,3,10,2016,20,19,77,205,4938,296298,fec,oth12,9
266,0,3,10,2016,34,17,70,205,4937,296192,fec,oth14,9
266,4,23,9,2016,47,13,55,195,4693,281565,fec,oth16,47
266,0,1,1,2018,17,17,69,660,15856,951376,fec,oth18,42
266,1,4,10,2016,11,17,68,206,4960,297609,fec,oth80,61
266,1,4,10,2016,29,17,69,206,4960,297627,fec,oth82,61
266,2,5,10,2016,51,14,59,207,4982,298909,fec,oth84,61
266,1,4,10,2016,35,19,78,206,4963,297753,fec,oth86,61
266,2,5,10,2016,48,14,59,207,4982,298906,fec,oth88,61
266,0,3,10,2016,41,17,70,205,4937,296199,fec,oth90,9
266,0,3,10,2016,25,19,77,205,4938,296304,fec,oth92,9
266,1,4,10,2016,4,19,76,206,4962,297722,fec,oth94,61
266,2,5,10,2016,44,16,66,207,4984,299022,fec,oth96,61
266,2,5,10,2016,47,17,71,207,4985,299085,fec,oth98,61
277,2,5,10,2016,35,18,74,207,4986,299133,fec,pas200,61
277,2,5,10,2016,9,17,68,207,4984,299047,fec,pas202,61
277,0,3,10,2016,25,19,77,205,4938,296303,fec,pas204,9
277,2,5,10,2016,7,14,56,207,4981,298865,fec,pas206,61
277,1,4,10,2016,36,18,74,206,4962,297694,fec,pas208,61
277,1,4,10,2016,12,15,60,206,4958,297490,fec,pas210,9
277,0,3,10,2016,17,19,77,205,4938,296295,fec,pas212,9
277,0,3,10,2016,32,17,70,205,4937,296190,fec,pas214,9
277,4,23,9,2016,15,14,57,195,4693,281593,fec,pas216,47
277,0,1,1,2018,15,17,69,660,15856,951373,fec,pas218,42
277,0,3,10,2016,31,16,66,205,4935,296130,fec,pas280,9
277,0,3,10,2016,39,18,74,205,4938,296257,fec,pas282,9
277,2,5,10,2016,47,14,59,207,4982,298905,fec,pas284,61
277,1,4,10,2016,34,19,78,206,4963,297752,fec,pas286,61
277,2,5,10,2016,47,14,59,207,4982,298905,fec,pas288,61
277,0,3,10,2016,24,17,69,205,4936,296182,fec,pas290,9
277,0,3,10,2016,40,18,74,205,4938,296258,fec,pas292,9
277,1,4,10,2016,3,19,76,206,4962,297721,fec,pas294,61
277,2,5,10,2016,39,16,66,207,4984,299017,fec,pas296,61
277,2,5,10,2016,46,17,71,207,4985,299084,fec,pas298,61
423,2,29,3,2017,59,1,7,382,9169,550137,genomics_cannabis,MNPR01_201703,51
18,2,29,3,2017,19,2,9,382,9169,550157,genomics_cannabis,MNPR01_reference_201703,51
423,2,29,3,2017,59,1,7,382,9169,550137,genomics_cannabis,MNPR01_transcriptome_201703,51
65,2,29,3,2017,19,2,9,382,9169,550157,genomics_cannabis,sample_info_201703,51
69,3,1,9,2016,0,15,60,173,4166,249958,ghcn_d,ghcnd_1763,5
69,3,1,9,2016,11,16,64,173,4167,250029,ghcn_d,ghcnd_1764,5
69,3,1,9,2016,12,16,64,173,4167,250030,ghcn_d,ghcnd_1765,5
69,3,1,9,2016,13,16,64,173,4167,250031,ghcn_d,ghcnd_1766,5
69,3,1,9,2016,14,16,64,173,4167,250032,ghcn_d,ghcnd_1767,5
69,3,1,9,2016,14,16,64,173,4167,250032,ghcn_d,ghcnd_1768,5
69,3,1,9,2016,21,16,65,173,4167,250039,ghcn_d,ghcnd_1769,5
69,3,1,9,2016,22,16,65,173,4167,250040,ghcn_d,ghcnd_1770,5
69,3,1,9,2016,24,16,65,173,4167,250042,ghcn_d,ghcnd_1771,5
69,3,1,9,2016,24,16,65,173,4167,250042,ghcn_d,ghcnd_1772,5
69,3,1,9,2016,26,16,65,173,4167,250044,ghcn_d,ghcnd_1773,5
69,3,1,9,2016,27,16,65,173,4167,250045,ghcn_d,ghcnd_1774,5
69,3,1,9,2016,27,16,65,173,4167,250045,ghcn_d,ghcnd_1775,5
69,3,1,9,2016,27,16,65,173,4167,250045,ghcn_d,ghcnd_1776,5
69,3,1,9,2016,28,16,65,173,4167,250046,ghcn_d,ghcnd_1777,5
69,3,1,9,2016,29,16,65,173,4167,250047,ghcn_d,ghcnd_1778,5
69,3,1,9,2016,29,16,65,173,4167,250048,ghcn_d,ghcnd_1779,5
69,3,1,9,2016,51,16,67,173,4168,250070,ghcn_d,ghcnd_1780,5
69,3,1,9,2016,32,16,66,173,4167,250050,ghcn_d,ghcnd_1781,5
69,3,1,9,2016,32,16,66,173,4168,250051,ghcn_d,ghcnd_1782,5
69,3,1,9,2016,33,16,66,173,4168,250051,ghcn_d,ghcnd_1783,5
69,3,1,9,2016,34,16,66,173,4168,250052,ghcn_d,ghcnd_1784,5
69,3,1,9,2016,34,16,66,173,4168,250052,ghcn_d,ghcnd_1785,5
69,3,1,9,2016,38,16,66,173,4168,250056,ghcn_d,ghcnd_1786,5
69,3,1,9,2016,40,16,66,173,4168,250058,ghcn_d,ghcnd_1787,5
69,3,1,9,2016,40,16,66,173,4168,250058,ghcn_d,ghcnd_1788,5
69,3,1,9,2016,41,16,66,173,4168,250059,ghcn_d,ghcnd_1789,5
69,3,1,9,2016,41,16,66,173,4168,250060,ghcn_d,ghcnd_1790,5
69,3,1,9,2016,50,16,67,173,4168,250068,ghcn_d,ghcnd_1791,5
69,3,1,9,2016,50,16,67,173,4168,250068,ghcn_d,ghcnd_1792,5
69,3,1,9,2016,51,16,67,173,4168,250069,ghcn_d,ghcnd_1793,5
69,3,1,9,2016,51,16,67,173,4168,250070,ghcn_d,ghcnd_1794,5
69,3,1,9,2016,51,16,67,173,4168,250070,ghcn_d,ghcnd_1795,5
69,3,1,9,2016,59,16,67,173,4168,250077,ghcn_d,ghcnd_1796,5
69,3,1,9,2016,59,16,67,173,4168,250078,ghcn_d,ghcnd_1797,5
69,3,1,9,2016,0,17,68,173,4168,250078,ghcn_d,ghcnd_1798,5
69,3,1,9,2016,1,17,68,173,4168,250079,ghcn_d,ghcnd_1799,5
69,3,1,9,2016,1,17,68,173,4168,250079,ghcn_d,ghcnd_1800,5
69,3,1,9,2016,5,17,68,173,4168,250083,ghcn_d,ghcnd_1801,5
69,3,1,9,2016,5,17,68,173,4168,250083,ghcn_d,ghcnd_1802,5
69,3,1,9,2016,7,17,68,173,4168,250085,ghcn_d,ghcnd_1803,5
69,3,1,9,2016,8,17,68,173,4168,250086,ghcn_d,ghcnd_1804,5
69,3,1,9,2016,8,17,68,173,4168,250086,ghcn_d,ghcnd_1805,5
69,3,1,9,2016,5,14,56,173,4165,249903,ghcn_d,ghcnd_1806,5
69,3,1,9,2016,40,15,62,173,4167,249998,ghcn_d,ghcnd_1807,5
69,3,1,9,2016,41,15,62,173,4167,249999,ghcn_d,ghcnd_1808,5
69,3,1,9,2016,41,15,62,173,4167,249999,ghcn_d,ghcnd_1809,5
69,3,1,9,2016,42,15,62,173,4167,250000,ghcn_d,ghcnd_1810,5
69,3,1,9,2016,38,16,66,173,4168,250056,ghcn_d,ghcnd_1811,5
69,3,1,9,2016,38,16,66,173,4168,250056,ghcn_d,ghcnd_1812,5
69,3,1,9,2016,40,16,66,173,4168,250058,ghcn_d,ghcnd_1813,5
69,3,1,9,2016,39,16,66,173,4168,250058,ghcn_d,ghcnd_1814,5
69,3,1,9,2016,42,16,66,173,4168,250060,ghcn_d,ghcnd_1815,5
69,3,1,9,2016,42,16,66,173,4168,250060,ghcn_d,ghcnd_1816,5
69,3,1,9,2016,44,16,66,173,4168,250062,ghcn_d,ghcnd_1817,5
69,3,1,9,2016,47,16,67,173,4168,250065,ghcn_d,ghcnd_1818,5
69,3,1,9,2016,47,16,67,173,4168,250065,ghcn_d,ghcnd_1819,5
69,3,1,9,2016,47,16,67,173,4168,250065,ghcn_d,ghcnd_1820,5
69,3,1,9,2016,49,16,67,173,4168,250067,ghcn_d,ghcnd_1821,5
69,3,1,9,2016,50,16,67,173,4168,250068,ghcn_d,ghcnd_1822,5
69,3,1,9,2016,51,16,67,173,4168,250069,ghcn_d,ghcnd_1823,5
69,3,1,9,2016,50,16,67,173,4168,250068,ghcn_d,ghcnd_1824,5
69,3,1,9,2016,51,16,67,173,4168,250070,ghcn_d,ghcnd_1825,5
69,3,1,9,2016,53,16,67,173,4168,250071,ghcn_d,ghcnd_1826,5
69,3,1,9,2016,52,16,67,173,4168,250070,ghcn_d,ghcnd_1827,5
69,3,1,9,2016,59,16,67,173,4168,250077,ghcn_d,ghcnd_1828,5
69,3,1,9,2016,59,16,67,173,4168,250078,ghcn_d,ghcnd_1829,5
69,3,1,9,2016,1,17,68,173,4168,250079,ghcn_d,ghcnd_1830,5
69,3,1,9,2016,2,17,68,173,4168,250080,ghcn_d,ghcnd_1831,5
69,3,1,9,2016,3,17,68,173,4168,250081,ghcn_d,ghcnd_1832,5
69,3,1,9,2016,3,17,68,173,4168,250081,ghcn_d,ghcnd_1833,5
69,3,1,9,2016,4,17,68,173,4168,250083,ghcn_d,ghcnd_1834,5
69,3,1,9,2016,5,17,68,173,4168,250083,ghcn_d,ghcnd_1835,5
69,3,1,9,2016,5,17,68,173,4168,250083,ghcn_d,ghcnd_1836,5
69,3,1,9,2016,6,17,68,173,4168,250084,ghcn_d,ghcnd_1837,5
69,3,1,9,2016,13,17,68,173,4168,250091,ghcn_d,ghcnd_1838,5
69,3,1,9,2016,7,17,68,173,4168,250085,ghcn_d,ghcnd_1839,5
69,3,1,9,2016,7,17,68,173,4168,250085,ghcn_d,ghcnd_1840,5
69,3,1,9,2016,8,17,68,173,4168,250086,ghcn_d,ghcnd_1841,5
69,3,1,9,2016,9,17,68,173,4168,250087,ghcn_d,ghcnd_1842,5
69,3,1,9,2016,22,17,69,173,4168,250100,ghcn_d,ghcnd_1843,5
69,3,1,9,2016,10,17,68,173,4168,250088,ghcn_d,ghcnd_1844,5
69,3,1,9,2016,10,17,68,173,4168,250088,ghcn_d,ghcnd_1845,5
69,3,1,9,2016,10,17,68,173,4168,250089,ghcn_d,ghcnd_1846,5
69,3,1,9,2016,12,17,68,173,4168,250090,ghcn_d,ghcnd_1847,5
69,3,1,9,2016,12,17,68,173,4168,250090,ghcn_d,ghcnd_1848,5
69,3,1,9,2016,50,15,63,173,4167,250008,ghcn_d,ghcnd_1849,5
69,3,1,9,2016,54,15,63,173,4167,250012,ghcn_d,ghcnd_1850,5
69,3,1,9,2016,54,15,63,173,4167,250012,ghcn_d,ghcnd_1851,5
69,3,1,9,2016,54,15,63,173,4167,250012,ghcn_d,ghcnd_1852,5
69,3,1,9,2016,56,15,63,173,4167,250014,ghcn_d,ghcnd_1853,5
69,3,1,9,2016,56,15,63,173,4167,250014,ghcn_d,ghcnd_1854,5
69,3,1,9,2016,14,16,64,173,4167,250033,ghcn_d,ghcnd_1855,5
69,3,1,9,2016,16,16,65,173,4167,250034,ghcn_d,ghcnd_1856,5
69,3,1,9,2016,17,16,65,173,4167,250036,ghcn_d,ghcnd_1857,5
69,3,1,9,2016,18,16,65,173,4167,250036,ghcn_d,ghcnd_1858,5
69,3,1,9,2016,19,16,65,173,4167,250037,ghcn_d,ghcnd_1859,5
