num_columns,day_of_week,day_of_week,day,day,month,month,year,year,minute,minute,hour,hour,qhr,num_days_since_start,num_hours_since_start,num_mins_since_start,lineage,table_name,cluster_labels,col_names
2339,0,0,24,0,10,0,2016,1,44,0,20,0,82,226,5444,326622,baseball,games_post_wide,25,"['gameId', 'seasonId', 'seasonType', 'year', 'startTime', 'gameStatus', 'attendance', 'dayNight', 'duration', 'durationMinutes', 'awayTeamId', 'awayTeamName', 'homeTeamId', 'homeTeamName', 'venueId', 'venueName', 'venueSurface', 'venueCapacity', 'venueCity', 'venueState', 'venueZip', 'venueMarket', 'venueOutfieldDistances', 'homeFinalRuns', 'homeFinalHits', 'homeFinalErrors', 'awayFinalRuns', 'awayFinalHits', 'awayFinalErrors', 'homeFinalRunsForInning', 'awayFinalRunsForInning', 'inningNumber', 'inningHalf', 'inningEventType', 'inningHalfEventSequenceNumber', 'description', 'atBatEventType', 'atBatEventSequenceNumber', 'createdAt', 'updatedAt', 'status', 'outcomeId', 'outcomeDescription', 'hitterId', 'hitterLastName', 'hitterFirstName', 'hitterWeight', 'hitterHeight', 'hitterBatHand', 'pitcherId', 'pitcherFirstName', 'pitcherLastName', 'pitcherThrowHand', 'pitchType', 'pitchTypeDescription', 'pitchSpeed', 'pitchZone', 'pitcherPitchCount', 'hitterPitchCount', 'hitLocation', 'hitType', 'startingBalls', 'startingStrikes', 'startingOuts', 'balls', 'strikes', 'outs', 'rob0_start', 'rob0_end', 'rob0_isOut', 'rob0_outcomeId', 'rob0_outcomeDescription', 'rob1_start', 'rob1_end', 'rob1_isOut', 'rob1_outcomeId', 'rob1_outcomeDescription', 'rob2_start', 'rob2_end', 'rob2_isOut', 'rob2_outcomeId', 'rob2_outcomeDescription', 'rob3_start', 'rob3_end', 'rob3_isOut', 'rob3_outcomeId', 'rob3_outcomeDescription', 'is_ab', 'is_ab_over', 'is_hit', 'is_on_base', 'is_bunt', 'is_bunt_shown', 'is_double_play', 'is_triple_play', 'is_wild_pitch', 'is_passed_ball', 'homeCurrentTotalRuns', 'awayCurrentTotalRuns', 'awayFielder1', 'awayFielder2', 'awayFielder3', 'awayFielder4', 'awayFielder5', 'awayFielder6', 'awayFielder7', 'awayFielder8', 'awayFielder9', 'awayFielder10', 'awayFielder11', 'awayFielder12', 'awayBatter1', 'awayBatter2', 'awayBatter3', 'awayBatter4', 'awayBatter5', 'awayBatter6', 'awayBatter7', 'awayBatter8', 'awayBatter9', 'homeFielder1', 'homeFielder2', 'homeFielder3', 'homeFielder4', 'homeFielder5', 'homeFielder6', 'homeFielder7', 'homeFielder8', 'homeFielder9', 'homeFielder10', 'homeFielder11', 'homeFielder12', 'homeBatter1', 'homeBatter2', 'homeBatter3', 'homeBatter4', 'homeBatter5', 'homeBatter6', 'homeBatter7', 'homeBatter8', 'homeBatter9', 'lineupTeamId', 'lineupPlayerId', 'lineupPosition', 'lineupOrder']"
2339,0,0,24,0,10,0,2016,1,43,0,20,0,82,226,5444,326621,baseball,games_wide,25,"['gameId', 'seasonId', 'seasonType', 'year', 'startTime', 'gameStatus', 'attendance', 'dayNight', 'duration', 'durationMinutes', 'awayTeamId', 'awayTeamName', 'homeTeamId', 'homeTeamName', 'venueId', 'venueName', 'venueSurface', 'venueCapacity', 'venueCity', 'venueState', 'venueZip', 'venueMarket', 'venueOutfieldDistances', 'homeFinalRuns', 'homeFinalHits', 'homeFinalErrors', 'awayFinalRuns', 'awayFinalHits', 'awayFinalErrors', 'homeFinalRunsForInning', 'awayFinalRunsForInning', 'inningNumber', 'inningHalf', 'inningEventType', 'inningHalfEventSequenceNumber', 'description', 'atBatEventType', 'atBatEventSequenceNumber', 'createdAt', 'updatedAt', 'status', 'outcomeId', 'outcomeDescription', 'hitterId', 'hitterLastName', 'hitterFirstName', 'hitterWeight', 'hitterHeight', 'hitterBatHand', 'pitcherId', 'pitcherFirstName', 'pitcherLastName', 'pitcherThrowHand', 'pitchType', 'pitchTypeDescription', 'pitchSpeed', 'pitchZone', 'pitcherPitchCount', 'hitterPitchCount', 'hitLocation', 'hitType', 'startingBalls', 'startingStrikes', 'startingOuts', 'balls', 'strikes', 'outs', 'rob0_start', 'rob0_end', 'rob0_isOut', 'rob0_outcomeId', 'rob0_outcomeDescription', 'rob1_start', 'rob1_end', 'rob1_isOut', 'rob1_outcomeId', 'rob1_outcomeDescription', 'rob2_start', 'rob2_end', 'rob2_isOut', 'rob2_outcomeId', 'rob2_outcomeDescription', 'rob3_start', 'rob3_end', 'rob3_isOut', 'rob3_outcomeId', 'rob3_outcomeDescription', 'is_ab', 'is_ab_over', 'is_hit', 'is_on_base', 'is_bunt', 'is_bunt_shown', 'is_double_play', 'is_triple_play', 'is_wild_pitch', 'is_passed_ball', 'homeCurrentTotalRuns', 'awayCurrentTotalRuns', 'awayFielder1', 'awayFielder2', 'awayFielder3', 'awayFielder4', 'awayFielder5', 'awayFielder6', 'awayFielder7', 'awayFielder8', 'awayFielder9', 'awayFielder10', 'awayFielder11', 'awayFielder12', 'awayBatter1', 'awayBatter2', 'awayBatter3', 'awayBatter4', 'awayBatter5', 'awayBatter6', 'awayBatter7', 'awayBatter8', 'awayBatter9', 'homeFielder1', 'homeFielder2', 'homeFielder3', 'homeFielder4', 'homeFielder5', 'homeFielder6', 'homeFielder7', 'homeFielder8', 'homeFielder9', 'homeFielder10', 'homeFielder11', 'homeFielder12', 'homeBatter1', 'homeBatter2', 'homeBatter3', 'homeBatter4', 'homeBatter5', 'homeBatter6', 'homeBatter7', 'homeBatter8', 'homeBatter9', 'lineupTeamId', 'lineupPlayerId', 'lineupPosition', 'lineupOrder']"
204,0,0,24,0,10,0,2016,1,43,0,20,0,82,226,5444,326621,baseball,schedules,25,"['gameId', 'gameNumber', 'seasonId', 'year', 'type', 'dayNight', 'duration', 'duration_minutes', 'homeTeamId', 'homeTeamName', 'awayTeamId', 'awayTeamName', 'startTime', 'attendance', 'status', 'created']"
159,1,0,13,0,2,0,2018,0,5,0,2,0,8,703,16873,1012384,bitcoin_blockchain,blocks,14,"['block_id', 'previous_block', 'merkle_root', 'timestamp', 'difficultyTarget', 'nonce', 'version', 'work_terahash', 'work_error', 'transactions', 'row_number']"
148,1,0,30,0,1,0,2018,0,41,0,17,0,70,689,16553,993159,bitcoin_blockchain,transactions,14,"['timestamp', 'transaction_id', 'inputs', 'outputs', 'block_id', 'previous_block', 'merkle_root', 'nonce', 'version', 'work_terahash', 'work_error']"
178,2,0,14,0,12,0,2016,1,31,0,22,0,90,277,6669,400169,bls,c_cpi_u,18,"['series_id', 'year', 'period', 'value', 'footnote_codes', 'survey_abbreviation', 'seasonal_code', 'periodicity_code', 'area_code', 'area_name', 'item_code', 'item_name', 'date']"
178,2,0,14,0,12,0,2016,1,36,0,22,0,90,277,6670,400174,bls,cpi_u,18,"['series_id', 'year', 'period', 'value', 'footnote_codes', 'survey_abbreviation', 'seasonal_code', 'periodicity_code', 'area_code', 'area_name', 'item_code', 'item_name', 'date']"
82,2,0,14,0,12,0,2016,1,39,0,22,0,90,277,6670,400177,bls,employment_hours_earnings,18,"['series_id', 'year', 'period', 'value', 'footnote_codes', 'date', 'series_title']"
170,4,0,6,0,1,0,2017,0,55,0,19,0,79,300,7219,433133,bls,employment_hours_earnings_series,0,"['series_id', 'supersector_code', 'industry_code', 'data_type_code', 'seasonal', 'series_title', 'footnote_codes', 'begin_year', 'begin_period', 'end_year', 'end_period']"
82,2,0,14,0,12,0,2016,1,37,0,22,0,90,277,6670,400175,bls,unemployment_cps,18,"['series_id', 'year', 'period', 'value', 'footnote_codes', 'date', 'series_title']"
574,2,0,14,0,12,0,2016,0,37,0,22,0,90,277,6670,400176,bls,unemployment_cps_series,18,"['series_id', 'lfst_code', 'periodicity_code', 'series_title', 'absn_code', 'activity_code', 'ages_code', 'class_code', 'duration_code', 'education_code', 'entr_code', 'expr_code', 'hheader_code', 'hour_code', 'indy_code', 'jdes_code', 'look_code', 'mari_code', 'mjhs_code', 'occupation_code', 'orig_code', 'pcts_code', 'race_code', 'rjnw_code', 'rnlf_code', 'rwns_code', 'seek_code', 'sexs_code', 'tdat_code', 'vets_code', 'wkst_code', 'born_code', 'chld_code', 'disa_code', 'seasonal', 'footnote_codes', 'begin_year', 'begin_period', 'end_year', 'end_period', 'cert_code']"
82,2,0,14,0,12,0,2016,1,35,0,22,0,90,277,6670,400174,bls,wm,18,"['series_id', 'year', 'period', 'value', 'footnote_codes', 'date', 'series_title']"
246,4,0,6,0,1,0,2017,0,54,0,19,0,79,300,7219,433133,bls,wm_series,0,"['series_id', 'seasonal', 'area_code', 'ownership_code', 'estimate_code', 'industry_code', 'occupation_code', 'subcell_code', 'datatype_code', 'level_code', 'series_title', 'footnote_codes', 'begin_year', 'begin_period', 'end_year', 'end_period']"
309,2,0,11,0,10,0,2017,0,53,0,21,0,87,578,13893,833571,census_bureau_construction,new_residential_construction,53,"['period_id', 'period_name', 'period_date', 'category_id', 'category_code', 'category_desc', 'category_indent', 'datatype_id', 'datatype_code', 'datatype_desc', 'datatype_unit', 'error_type_id', 'error_type_code', 'error_type_desc', 'error_type_unit', 'geo_id', 'geo_code', 'geo_desc', 'is_adjusted', 'value']"
281,3,0,20,0,4,0,2017,1,12,0,18,0,72,404,9713,582790,census_bureau_international,age_specific_fertility_rates,35,"['country_code', 'country_name', 'year', 'fertility_rate_15_19', 'fertility_rate_20_24', 'fertility_rate_25_29', 'fertility_rate_30_34', 'fertility_rate_35_39', 'fertility_rate_40_44', 'fertility_rate_45_49', 'total_fertility_rate', 'gross_reproduction_rate', 'sex_ratio_at_birth']"
137,3,0,20,0,4,0,2017,1,12,0,18,0,72,404,9713,582790,census_bureau_international,birth_death_growth_rates,35,"['country_code', 'country_name', 'year', 'crude_birth_rate', 'crude_death_rate', 'net_migration', 'rate_natural_increase', 'growth_rate']"
48,3,0,20,0,4,0,2017,0,12,0,18,0,72,404,9713,582790,census_bureau_international,country_names_area,35,"['country_code', 'country_name', 'country_area']"
62,3,0,20,0,4,0,2017,1,13,0,18,0,72,404,9713,582791,census_bureau_international,midyear_population,35,"['country_code', 'country_name', 'year', 'midyear_population']"
185,3,0,20,0,4,0,2017,1,14,0,18,0,72,404,9713,582792,census_bureau_international,midyear_population_5yr_age_sex,35,"['country_code', 'country_name', 'year', 'total_flag', 'starting_age', 'age_group_indicator', 'ending_age', 'midyear_population', 'midyear_population_male', 'midyear_population_female']"
2170,3,0,20,0,4,0,2017,1,14,0,18,0,72,404,9713,582792,census_bureau_international,midyear_population_age_sex,35,"['country_code', 'country_name', 'year', 'sex', 'max_age', 'population_age_0', 'population_age_1', 'population_age_2', 'population_age_3', 'population_age_4', 'population_age_5', 'population_age_6', 'population_age_7', 'population_age_8', 'population_age_9', 'population_age_10', 'population_age_11', 'population_age_12', 'population_age_13', 'population_age_14', 'population_age_15', 'population_age_16', 'population_age_17', 'population_age_18', 'population_age_19', 'population_age_20', 'population_age_21', 'population_age_22', 'population_age_23', 'population_age_24', 'population_age_25', 'population_age_26', 'population_age_27', 'population_age_28', 'population_age_29', 'population_age_30', 'population_age_31', 'population_age_32', 'population_age_33', 'population_age_34', 'population_age_35', 'population_age_36', 'population_age_37', 'population_age_38', 'population_age_39', 'population_age_40', 'population_age_41', 'population_age_42', 'population_age_43', 'population_age_44', 'population_age_45', 'population_age_46', 'population_age_47', 'population_age_48', 'population_age_49', 'population_age_50', 'population_age_51', 'population_age_52', 'population_age_53', 'population_age_54', 'population_age_55', 'population_age_56', 'population_age_57', 'population_age_58', 'population_age_59', 'population_age_60', 'population_age_61', 'population_age_62', 'population_age_63', 'population_age_64', 'population_age_65', 'population_age_66', 'population_age_67', 'population_age_68', 'population_age_69', 'population_age_70', 'population_age_71', 'population_age_72', 'population_age_73', 'population_age_74', 'population_age_75', 'population_age_76', 'population_age_77', 'population_age_78', 'population_age_79', 'population_age_80', 'population_age_81', 'population_age_82', 'population_age_83', 'population_age_84', 'population_age_85', 'population_age_86', 'population_age_87', 'population_age_88', 'population_age_89', 'population_age_90', 'population_age_91', 'population_age_92', 'population_age_93', 'population_age_94', 'population_age_95', 'population_age_96', 'population_age_97', 'population_age_98', 'population_age_99', 'population_age_100']"
68,2,0,26,0,4,0,2017,1,30,0,18,0,74,410,9857,591448,census_bureau_international,midyear_population_agespecific,66,"['country_code', 'country_name', 'year', 'sex', 'population', 'age']"
349,3,0,20,0,4,0,2017,1,12,0,18,0,72,404,9713,582790,census_bureau_international,mortality_life_expectancy,35,"['country_code', 'country_name', 'year', 'infant_mortality', 'infant_mortality_male', 'infant_mortality_female', 'life_expectancy', 'life_expectancy_male', 'life_expectancy_female', 'mortality_rate_under5', 'mortality_rate_under5_male', 'mortality_rate_under5_female', 'mortality_rate_1to4', 'mortality_rate_1to4_male', 'mortality_rate_1to4_female']"
75,4,0,7,0,4,0,2017,0,30,0,23,0,94,391,9406,564388,census_bureau_usa,population_by_zip_2000,11,"['zipcode', 'geo_id', 'minimum_age', 'maximum_age', 'gender', 'population']"
75,4,0,7,0,4,0,2017,0,30,0,23,0,94,391,9406,564389,census_bureau_usa,population_by_zip_2010,11,"['zipcode', 'geo_id', 'minimum_age', 'maximum_age', 'gender', 'population']"
95,1,0,31,0,7,0,2018,0,24,0,22,0,89,871,20925,1255522,census_fips_codes,counties_2016,17,"['state_abbreviation', 'state_fips_code', 'county_fips_code', 'county_name', 'fips_class_code']"
75,4,0,10,0,8,0,2018,0,26,0,19,0,77,881,21162,1269744,census_fips_codes,states_2016,56,"['states_fips_code', 'state_abbreviation', 'state_name', 'state_gnis_code']"
280,2,0,12,0,4,0,2017,1,27,0,19,0,77,396,9522,571345,chicago_crime,crime,11,"['unique_key', 'case_number', 'date', 'block', 'iucr', 'primary_type', 'description', 'location_description', 'arrest', 'domestic', 'beat', 'district', 'ward', 'community_area', 'fbi_code', 'x_coordinate', 'y_coordinate', 'year', 'updated_on', 'latitude', 'longitude', 'location']"
394,2,0,12,0,4,0,2017,0,35,0,19,0,78,396,9523,571353,chicago_taxi_trips,taxi_trips,11,"['unique_key', 'taxi_id', 'trip_start_timestamp', 'trip_end_timestamp', 'trip_seconds', 'trip_miles', 'pickup_census_tract', 'dropoff_census_tract', 'pickup_community_area', 'dropoff_community_area', 'fare', 'tips', 'tolls', 'extras', 'trip_total', 'payment_type', 'company', 'pickup_latitude', 'pickup_longitude', 'pickup_location', 'dropoff_latitude', 'dropoff_longitude', 'dropoff_location']"
260,1,0,1,0,11,0,2016,0,45,0,17,0,71,234,5633,337964,cloud_storage_geo_index,landsat_index,52,"['scene_id', 'product_id', 'spacecraft_id', 'sensor_id', 'date_acquired', 'sensing_time', 'collection_number', 'collection_category', 'data_type', 'wrs_path', 'wrs_row', 'cloud_cover', 'north_lat', 'south_lat', 'west_lon', 'east_lon', 'total_size', 'base_url']"
216,1,0,1,0,11,0,2016,0,37,0,17,0,70,234,5633,337955,cloud_storage_geo_index,sentinel_2_index,52,"['granule_id', 'product_id', 'datatake_identifier', 'mgrs_tile', 'sensing_time', 'geometric_quality_flag', 'generation_time', 'north_lat', 'south_lat', 'west_lon', 'east_lon', 'base_url', 'total_size', 'cloud_cover']"
498,0,0,10,0,4,0,2017,0,4,0,22,0,88,394,9477,568622,cms_codes,hcpcs,11,"['HCPC', 'SEQNUM', 'RECID', 'LONG_DESCRIPTION', 'SHORT_DESCRIPTION', 'PRICE1', 'PRICE2', 'PRICE3', 'PRICE4', 'MULT_PI', 'CIM1', 'CIM2', 'CIM3', 'MCM1', 'MCM2', 'MCM3', 'STATUTE', 'LABCERT1', 'LABCERT2', 'LABCERT3', 'LABCERT4', 'LABCERT5', 'LABCERT6', 'LABCERT7', 'LABCERT8', 'XREF1', 'XREF2', 'XREF3', 'XREF4', 'XREF5', 'COV', 'ASC_GRP', 'ASC_DT', 'OPPS', 'OPPS_PI', 'OPPS_DT', 'PROCNOTE', 'BETOS', 'TOS1', 'TOS2', 'TOS3', 'TOS4', 'TOS5', 'ANEST_BU', 'ADD_DT', 'ACT_EFF_DT', 'TERM_DT', 'ACTION_CD']"
59,0,0,10,0,4,0,2017,0,4,0,22,0,88,394,9477,568623,cms_codes,icd9_diagnoses,11,"['DIAGNOSIS_CODE', 'LONG_DESCRIPTION', 'SHORT_DESCRIPTION']"
59,0,0,10,0,4,0,2017,0,5,0,22,0,88,394,9477,568623,cms_codes,icd9_procedures,11,"['PROCEDURE_CODE', 'LONG_DESCRIPTION', 'SHORT_DESCRIPTION']"
407,4,0,19,0,5,0,2017,0,25,0,19,0,77,433,10410,624623,cms_medicare,home_health_agencies_2013,24,"['provider_id', 'agency_name', 'street_address', 'city', 'state', 'zip_code', 'total_episodes_non_lupa', 'distinct_users_non_lupa', 'total_hha_charge_amount_non_lupa', 'total_hha_medicare_payment_amount_non_lupa', 'total_hha_medicare_standard_payment_amount_non_lupa', 'outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa', 'total_lupa_episodes', 'total_hha_medicare_payment_amount_for_lupas']"
1839,4,0,19,0,5,0,2017,0,25,0,19,0,77,433,10410,624623,cms_medicare,home_health_agencies_2014,24,"['provider_id', 'agency_name', 'street_address', 'city', 'state', 'zip_code', 'total_episodes_non_lupa', 'distinct_beneficiaries_non_lupa', 'average_number_of_total_visits_per_episode_non_lupa', 'average_number_of_skilled_nursing_visits_per_episode_non_lupa', 'average_number_of_pt_visits_per_episode_non_lupa', 'average_number_of_ot_visits_per_episode_non_lupa', 'average_number_of_st_visits_per_episode_non_lupa', 'average_number_of_home_health_aide_visits_per_episode_non_lupa', 'average_number_of_medical_social_visits_per_episode_non_lupa', 'total_hha_charge_amount_non_lupa', 'total_hha_medicare_payment_amount_non_lupa', 'total_hha_medicare_standard_payment_amount_non_lupa', 'outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa', 'total_lupa_episodes', 'total_hha_medicare_payment_amount_for_lupas', 'average_age', 'male_beneficiaries', 'female_beneficiaries', 'nondual_beneficiaries', 'dua_beneficiaries', 'white_beneficiaries', 'black_beneficiaries', 'asian_pacific_islander_beneficiaries', 'hispanic_beneficiaries', 'american_indian_or_alaska_native_beneficiaries', 'other_unknown_beneficiaries', 'average_hcc_score', 'percent_of_beneficiaries_with_atrial_fibrillation', 'percent_of_beneficiaries_with_alzheimers', 'percent_of_beneficiaries_with_asthma', 'percent_of_beneficiaries_with_cancer', 'percent_of_beneficiaries_with_chf', 'percent_of_beneficiaries_with_chronic_kidney_disease', 'percent_of_beneficiaries_with_copd', 'percent_of_beneficiaries_with_depression', 'percent_of_beneficiaries_with_diabetes', 'percent_of_beneficiaries_with_hyperlipidemia', 'percent_of_beneficiaries_with_hypertension', 'percent_of_beneficiaries_with_ihd', 'percent_of_beneficiaries_with_osteoporosis', 'percent_of_beneficiaries_with_ra_oa', 'percent_of_beneficiaries_with_schizophrenia', 'percent_of_beneficiaries_with_stroke']"
1968,4,0,19,0,5,0,2017,0,23,0,19,0,77,433,10410,624621,cms_medicare,hospice_providers_2014,24,"['provider_id', 'name', 'street_address', 'city', 'state', 'zip_code', 'hrr', 'hospice_beneficiaries', 'total_days', 'total_medicare_payment_amount', 'total_medicare_standard_payment_amount', 'total_charge_amount', 'percent_routine_home_care_days', 'physician_services', 'home_health_visit_hours_per_day', 'skilled_nursing_visit_hours_per_day', 'social_service_visit_hours_per_day', 'total_live_discharges', 'hospice_beneficiaries_with_seven_or_fewer_hospice_care_days', 'hospice_beneficiaries_with_more_than_sixty_hospice_care_days', 'hospice_beneficiaries_with_more_than_one_hundred_eighty_hospice_care_days', 'home_health_visit_hours_per_day_during_week_prior_to_death', 'skilled_nursing_visit_hours_per_day_during_week_prior_to_death', 'social_service_visit_hours_per_day_during_week_prior_to_death', 'average_age', 'male_hospice_beneficiaries', 'female_hospice_beneficiaries', 'white_hospice_beneficiaries', 'black_hospice_beneficiaries', 'asian_hospice_beneficiaries', 'hispanic_hospice_beneficiaries', 'other_unknown_race_hospice_beneficiaries', 'medicare_advantage_hospice_beneficiaries', 'medicaid_eligible_hospice_beneficiaries', 'hospice_beneficiaries_with_a_primary_diagnosis_of_cancer', 'hospice_beneficiaries_with_a_primary_diagnosis_of_dementia', 'hospice_beneficiaries_with_a_primary_diagnosis_of_stroke', 'hospice_beneficiaries_with_a_primary_diagnosis_of_circulatory_heart_disease', 'hospice_beneficiaries_with_a_primary_diagnosis_of_respiratory_disease', 'hospice_beneficiaries_with_other_primary_diagnoses', 'site_of_service_home_hospice_beneficiaries', 'site_of_service_assisted_living_facility_hospice_beneficiaries', 'site_of_service_long_term_care_or_non_skilled_nursing_facility_hospice_beneficiaries', 'site_of_service_skilled_nursing_facility_hospice_beneficiaries', 'site_of_service_inpatient_hospital_hospice_beneficiaries', 'site_of_service_inpatient_hospice_hospice_beneficiaries', 'site_of_service_other_facility_hospice_beneficiaries']"
929,5,0,16,0,9,0,2017,0,26,0,1,0,5,553,13272,796344,cms_medicare,hospital_general_info,27,"['provider_id', 'hospital_name', 'address', 'city', 'state', 'zip_code', 'county_name', 'phone_number', 'hospital_type', 'hospital_ownership', 'emergency_services', 'meets_criteria_for_meaningful_use_of_ehrs', 'hospital_overall_rating', 'hospital_overall_rating_footnote', 'mortality_national_comparison', 'mortality_national_comparison_footnote', 'safety_of_care_national_comparison', 'safety_of_care_national_comparison_footnote', 'readmission_national_comparison', 'readmission_national_comparison_footnote', 'patient_experience_national_comparison', 'patient_experience_national_comparison_footnote', 'effectiveness_of_care_national_comparison', 'effectiveness_of_care_national_comparison_footnote', 'timeliness_of_care_national_comparison', 'timeliness_of_care_national_comparison_footnote', 'efficient_use_of_medical_imaging_national_comparison', 'efficient_use_of_medical_imaging_national_comparison_footnote', 'location']"
274,3,0,13,0,4,0,2017,0,36,0,17,0,70,397,9545,572674,cms_medicare,inpatient_charges_2011,11,"['provider_id', 'provider_name', 'provider_street_address', 'provider_city', 'provider_state', 'provider_zipcode', 'drg_definition', 'hospital_referral_region_description', 'total_discharges', 'average_covered_charges', 'average_total_payments', 'average_medicare_payments']"
274,3,0,13,0,4,0,2017,0,36,0,17,0,70,397,9545,572674,cms_medicare,inpatient_charges_2012,11,"['provider_id', 'provider_name', 'provider_street_address', 'provider_city', 'provider_state', 'provider_zipcode', 'drg_definition', 'hospital_referral_region_description', 'total_discharges', 'average_covered_charges', 'average_total_payments', 'average_medicare_payments']"
274,3,0,13,0,4,0,2017,0,36,0,17,0,70,397,9545,572674,cms_medicare,inpatient_charges_2013,11,"['provider_id', 'provider_name', 'provider_street_address', 'provider_city', 'provider_state', 'provider_zipcode', 'drg_definition', 'hospital_referral_region_description', 'total_discharges', 'average_covered_charges', 'average_total_payments', 'average_medicare_payments']"
274,2,0,12,0,4,0,2017,0,53,0,19,0,79,396,9523,571371,cms_medicare,inpatient_charges_2014,11,"['provider_id', 'provider_name', 'provider_street_address', 'provider_city', 'provider_state', 'provider_zipcode', 'drg_definition', 'hospital_referral_region_description', 'total_discharges', 'average_covered_charges', 'average_total_payments', 'average_medicare_payments']"
274,0,0,18,0,9,0,2017,0,0,0,14,0,56,555,13333,799978,cms_medicare,inpatient_charges_2015,46,"['provider_id', 'provider_name', 'provider_street_address', 'provider_city', 'provider_state', 'provider_zipcode', 'drg_definition', 'hospital_referral_region_description', 'total_discharges', 'average_covered_charges', 'average_total_payments', 'average_medicare_payments']"
311,4,0,19,0,5,0,2017,0,21,0,19,0,77,433,10410,624619,cms_medicare,nursing_facilities_2013,24,"['provider_id', 'facility_name', 'street_address', 'city', 'state', 'zip_code', 'total_stays', 'distinct_beneficiaries_per_provider', 'average_length_of_stay_days', 'total_snf_charge_amount', 'total_snf_medicare_allowed_amount', 'total_snf_medicare_payment_amount', 'total_snf_medicare_standard_payment_amount']"
1331,4,0,19,0,5,0,2017,0,8,0,19,0,76,433,10410,624606,cms_medicare,nursing_facilities_2014,24,"['provider_id', 'facility_name', 'street_address', 'city', 'state', 'zip_code', 'total_stays', 'distinct_beneficiaries_per_provider', 'average_length_of_stays_days', 'total_snf_charge_amount', 'total_snf_medicare_allowed_amount', 'total_snf_medicare_payment_amount', 'total_snf_medicare_standard_payment_amount', 'average_age', 'male_beneficiaries', 'female_beneficiaries', 'nondual_beneficiaries', 'dual_beneficiaries', 'white_beneficiaries', 'black_beneficiaries', 'asian_pacific_islander_beneficiaries', 'hispanic_beneficiaries', 'american_indian_or_alaska_native_beneficiaries', 'other_unknown_beneficiaries', 'average_hcc_score', 'percent_of_beneficiaries_with_atrial_fibrillation', 'percent_of_beneficiaries_with_alzheimers', 'percent_of_beneficiaries_with_asthma', 'percent_of_beneficiaries_with_cancer', 'percent_of_beneficiaries_with_chf', 'percent_of_beneficiaries_with_chronic_kidney_disease', 'percent_of_beneficiaries_with_copd', 'percent_of_beneficiaries_with_depression', 'percent_of_beneficiaries_with_diabetes', 'percent_of_beneficiaries_with_hyperlipidemia', 'percent_of_beneficiaries_with_hypertension', 'percent_of_beneficiaries_with_ihd', 'percent_of_beneficiaries_with_osteoporosis', 'percent_of_beneficiaries_with_ra_oa', 'percent_of_beneficiaries_with_schizophrenia', 'percent_of_beneficiaries_with_stroke']"
